,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
0,Charters Towers,-20.1,146.2667,76.05,69,100,7.2,AU,1623549336
1,Ushuaia,-54.8,-68.3,38.86,87,75,26.46,AR,1623549096
2,Kikwit,-5.041,18.8162,69.26,47,16,3.29,CD,1623549337
3,Rossosh',51.1209,38.5116,57.29,96,81,5.97,RU,1623549337
4,Butaritari,3.0707,172.7902,82.47,73,23,6.55,KI,1623549337
5,Ribeira Grande,38.5167,-28.7,67.93,84,13,1.74,PT,1623549338
6,Sémbé,1.6481,14.5806,70.03,95,61,2.82,CG,1623549338
7,Rikitea,-23.1203,-134.9692,76.03,77,35,9.37,PF,1623549338
8,Punta Arenas,-53.15,-70.9167,39.31,87,20,17.27,CL,1623549146
9,Esperance,-33.8667,121.9,55.24,64,15,7.18,AU,1623549339
10,Albany,42.6001,-73.9662,62.91,82,15,2.3,US,1623549255
11,Tiksi,71.6872,128.8694,47.28,67,99,10.38,RU,1623549339
12,Mossamedes,-15.1961,12.1522,69.51,69,13,0.92,AO,1623549339
13,Cape Town,-33.9258,18.4232,56.08,93,75,13.8,ZA,1623549048
14,Atuona,-9.8,-139.0333,79.09,76,7,16.53,PF,1623549340
15,Bambous Virieux,-20.3428,57.7575,74.21,73,40,14.97,MU,1623549340
16,Bonfim,3.0833,-59.95,76.51,82,100,3.74,BR,1623549340
17,Mataura,-46.1927,168.8643,50.77,100,100,2.55,NZ,1623549341
18,Quecholac,18.95,-97.6667,61.59,83,100,3.53,MX,1623549341
19,Jamestown,42.097,-79.2353,69.44,73,1,5.75,US,1623549341
20,Codrington,-38.2667,141.9667,55.62,76,100,4.85,AU,1623549341
21,Cayenne,4.9333,-52.3333,79.09,87,20,0.0,GF,1623549342
22,Castro,-24.7911,-50.0119,46.87,79,0,1.5,BR,1623549342
23,Bathsheba,13.2167,-59.5167,81.21,65,40,12.66,BB,1623549342
24,Busselton,-33.65,115.3333,59.94,64,14,7.99,AU,1623549343
25,Hilo,19.7297,-155.09,78.8,80,77,4.0,US,1623549343
26,Arraial do Cabo,-22.9661,-42.0278,69.53,69,15,14.2,BR,1623549343
27,Vestmanna,62.1564,-7.1664,43.72,100,90,12.66,FO,1623549344
28,Nome,64.5011,-165.4064,51.17,78,100,8.84,US,1623549344
29,Lavrentiya,65.5833,-171.0,36.77,97,100,10.22,RU,1623549344
30,Pevek,69.7008,170.3133,36.39,80,0,3.15,RU,1623549344
31,Cortez,37.3489,-108.5859,78.19,11,0,6.06,US,1623549345
32,Lethem,3.3803,-59.7968,75.99,80,100,5.7,GY,1623549345
33,Rehoboth,-23.3167,17.0833,53.87,31,99,3.67,NA,1623549345
34,Zhigansk,66.7697,123.3711,61.57,33,91,19.66,RU,1623549346
35,Vaini,-21.2,-175.2,77.16,69,40,12.66,TO,1623549346
36,Chimoré,-16.9833,-65.1333,61.05,81,0,2.17,BO,1623549346
37,Dormont,40.3959,-80.0331,73.62,82,7,2.51,US,1623549347
38,Ixtapa,20.7,-105.2,77.23,86,100,1.01,MX,1623549347
39,Vila Velha,-20.3297,-40.2925,69.75,73,40,4.61,BR,1623549347
40,Yellowknife,62.456,-114.3525,61.32,59,20,11.5,CA,1623549178
41,Saint-Philippe,-21.3585,55.7679,71.15,84,52,15.48,RE,1623549347
